year,scholarships,tertiary_expenditure,country_id
2004,,98.63720703125,110.0
2005,,99.36186981201172,110.0
2006,142256.0,99.11373901367188,110.0
2007,208307.0,98.31281280517578,110.0
2008,821321.0,97.84483337402344,110.0
2009,1419680.0,98.47794342041016,110.0
2010,1684692.0,98.53852081298828,110.0
2011,1841734.0,99.4121322631836,110.0
2012,1496557.0,99.7577133178711,110.0
2013,2617708.0,,110.0
2014,1988014.0,99.78780364990234,110.0
2015,2085284.0,99.85576629638672,110.0
2016,2780352.0,98.46163177490234,110.0
2017,4196261.0,99.07711029052734,110.0
2018,6578716.0,96.39089965820312,110.0
2019,13666022.0,80.03755950927734,110.0
2020,10159467.0,96.57331085205078,110.0
2021,11726850.0,97.4831085205078,110.0
2022,11531322.0,96.79876708984376,110.0
2023,10276402.0,83.67320251464844,110.0
2001,,90.192138671875,23.0
2002,,94.02787017822266,23.0
2004,,95.9101333618164,23.0
2006,1529408.0,,23.0
2007,2027928.0,,23.0
2008,1915601.0,97.46038818359376,23.0
2009,2412977.0,92.98509979248048,23.0
2010,1909164.0,97.11985778808594,23.0
2011,1649832.0,96.7126922607422,23.0
2012,1538630.0,98.7261734008789,23.0
2013,1614390.0,97.19091033935548,23.0
2014,1045047.0,,23.0
2015,1220239.0,,23.0
2016,958593.0,,23.0
2017,1414116.0,,23.0
2018,1722106.0,,23.0
2019,3427465.0,,23.0
2020,1663899.0,,23.0
2021,2041166.0,,23.0
2022,1654304.0,,23.0
2023,4593813.0,,23.0
2005,,96.96913146972656,58.0
2008,,96.9200210571289,58.0
2009,,97.04615020751952,58.0
2010,,97.00399780273438,58.0
2011,,96.95709228515624,58.0
2012,,97.05548095703124,58.0
2013,,95.64907836914062,58.0
2014,,95.57105255126952,58.0
2015,,95.01248931884766,58.0
2016,,95.0458984375,58.0
2017,,95.09342956542967,58.0
2018,,94.50183868408205,58.0
2019,,92.54103088378906,58.0
2020,,93.39079284667967,58.0
2021,,93.65328979492188,58.0
2022,,94.97344207763672,58.0
2006,1162829.0,68.6467514038086,20.0
2007,1743803.0,91.0385971069336,20.0
2008,2080356.0,91.55542755126952,20.0
2009,2758019.0,84.0025405883789,20.0
2010,1366339.0,97.85215759277344,20.0
2011,952076.0,,20.0
2012,1475928.0,95.39141845703124,20.0
2013,2493697.0,95.69571685791016,20.0
2014,1934439.0,94.7153091430664,20.0
2015,2238544.0,90.04093933105469,20.0
2016,2946055.0,,20.0
2017,1866976.0,,20.0
2018,2524877.0,,20.0
2019,5086645.0,,20.0
2020,3321466.0,,20.0
2021,4892486.0,,20.0
2022,5793540.0,,20.0
2023,8518080.0,,20.0
2006,1409239.0,,121.0
2007,1129898.0,78.72090148925781,121.0
2008,1160004.0,,121.0
2009,2605913.0,,121.0
2010,9682882.0,,121.0
2011,556679.0,,121.0
2012,1928414.0,,121.0
2013,2226455.0,,121.0
2014,1826468.0,,121.0
2015,1477242.0,,121.0
2016,1498009.0,,121.0
2017,1991486.0,,121.0
2018,2831858.0,,121.0
2019,5436704.0,,121.0
2020,2765202.0,,121.0
2021,4041561.0,,121.0
2022,4613853.0,,121.0
2023,7844678.0,,121.0
2006,6630101.0,,29.0
2007,6586892.0,79.57425689697266,29.0
2008,8843067.0,86.96095275878906,29.0
2009,16300124.0,88.01216125488281,29.0
2010,17540316.0,87.12114715576172,29.0
2011,20517674.0,98.52892303466795,29.0
2012,19207532.0,98.21454620361328,29.0
2013,19198808.0,,29.0
2014,18917624.0,,29.0
2015,15254982.0,,29.0
2016,9968004.0,91.86730194091795,29.0
2017,15042751.0,,29.0
2018,11760397.0,,29.0
2019,17885272.0,81.04794311523438,29.0
2020,14579189.0,81.19068908691406,29.0
2021,13922164.0,,29.0
2022,18179248.0,,29.0
2023,39609144.0,,29.0
2001,,99.41422271728516,34.0
2002,,93.60304260253906,34.0
2003,,94.0845184326172,34.0
2005,,89.1027603149414,34.0
2006,,87.12113952636719,34.0
2007,,73.94168853759766,34.0
2008,,84.29174041748047,34.0
2009,,87.6324462890625,34.0
2010,,93.89305877685548,34.0
2011,,93.47734832763672,34.0
2012,,91.43121337890624,34.0
2013,,91.94788360595705,34.0
2017,,93.8508529663086,34.0
2018,,93.33521270751952,34.0
2019,,91.76719665527344,34.0
2020,,91.738037109375,34.0
2021,,91.79229736328124,34.0
2022,,91.30567932128906,34.0
2006,416620.0,,143.0
2007,349790.0,,143.0
2008,957047.0,,143.0
2009,938490.0,,143.0
2010,1349218.0,,143.0
2011,1567778.0,,143.0
2012,1765286.0,,143.0
2013,2311288.0,,143.0
2014,2119057.0,,143.0
2015,2462544.0,,143.0
2016,1992465.0,95.64707946777344,143.0
2017,3167460.0,,143.0
2018,4587223.0,96.23388671875,143.0
2019,5745390.0,97.0843505859375,143.0
2020,3832425.0,,143.0
2021,3739739.0,96.43359375,143.0
2022,3154642.0,,143.0
2023,3816201.0,,143.0
2004,,94.4854965209961,8.0
2005,,94.16770935058594,8.0
2006,140553.0,88.38713836669922,8.0
2007,124772.0,91.33863067626952,8.0
2008,2572191.0,,8.0
2009,3716216.0,94.19418334960938,8.0
2010,2156643.0,89.61730194091797,8.0
2011,2553026.0,92.3030014038086,8.0
2012,4697755.0,80.50312042236328,8.0
2013,9175253.0,88.8597183227539,8.0
2014,7811476.0,91.80680847167967,8.0
2015,12255420.0,95.08483123779295,8.0
2016,9049147.0,96.0510482788086,8.0
2017,7414264.0,94.09153747558594,8.0
2018,3680653.0,90.46524810791016,8.0
2019,3948787.0,92.4047393798828,8.0
2020,7625403.0,92.55570220947266,8.0
2021,11869196.0,92.12503814697266,8.0
2022,5230342.0,93.7943115234375,8.0
2023,5580442.0,92.21320343017578,8.0
2024,,92.25827026367188,8.0
2001,,53.04277038574219,6.0
2008,31190.0,,6.0
2009,203967.0,,6.0
