ratio_id,country_id,year,students_per_staff
1,5.0,2013,15.69422
2,169.0,2013,14.99852
3,58.0,2013,21.01014
4,161.0,2013,22.59477
5,72.0,2013,19.0108
6,168.0,2013,21.88274
7,75.0,2013,11.6926
8,182.0,2013,12.14303
9,27.0,2013,13.8256
10,179.0,2013,15.43023
11,189.0,2013,17.97517
12,202.0,2013,14.02664
13,24.0,2013,18.68505
14,3.0,2013,19.01731
15,21.0,2013,16.57111
16,52.0,2013,19.52238
17,203.0,2013,14.28073
18,87.0,2013,14.84156
19,69.0,2013,10.06744
20,76.0,2013,17.09787
21,114.0,2013,15.1338
22,139.0,2013,14.01625
23,205.0,2013,21.24353
24,66.0,2013,13.81251
25,107.0,2013,18.08672
26,127.0,2013,11.02355
27,12.0,2013,21.69265
28,148.0,2013,15.15857
29,5.0,2014,15.13504
30,169.0,2014,14.68996
31,58.0,2014,22.4563
32,34.0,2014,13.11246
33,161.0,2014,23.19728
34,72.0,2014,15.52306
35,168.0,2014,22.25035
36,75.0,2014,11.81685
37,30.0,2014,14.28474
38,182.0,2014,12.87559
39,153.0,2014,15.06217
40,27.0,2014,14.21266
41,179.0,2014,15.73824
42,189.0,2014,16.73928
43,135.0,2014,44.51665
44,85.0,2014,12.81782
45,202.0,2014,15.09366
46,24.0,2014,19.57171
47,3.0,2014,18.84552
48,21.0,2014,16.07427
49,37.0,2014,7.624437
50,52.0,2014,18.90185
51,203.0,2014,15.52698
52,87.0,2014,15.94213
53,69.0,2014,10.17601
54,76.0,2014,17.30436
55,114.0,2014,15.24072
56,139.0,2014,14.42238
57,205.0,2014,19.59882
58,66.0,2014,13.70729
59,107.0,2014,17.47931
60,127.0,2014,10.69305
61,12.0,2014,20.29419
62,148.0,2014,14.63305
63,5.0,2015,15.17925
64,169.0,2015,14.35013
65,58.0,2015,22.07814
66,34.0,2015,12.8521
67,161.0,2015,23.21396
68,156.0,2015,14.06813
69,72.0,2015,15.36408
70,168.0,2015,23.34214
71,75.0,2015,11.96528
72,30.0,2015,18.09805
73,182.0,2015,12.67185
74,153.0,2015,14.0071
75,27.0,2015,15.11832
76,179.0,2015,16.11145
77,189.0,2015,15.88673
78,85.0,2015,12.76296
79,202.0,2015,14.58852
80,24.0,2015,20.40575
81,3.0,2015,20.20042
82,21.0,2015,16.45147
83,37.0,2015,8.232759
84,52.0,2015,18.72247
85,203.0,2015,15.3218
86,87.0,2015,15.39431
87,69.0,2015,10.46555
88,76.0,2015,17.38688
89,114.0,2015,14.89737
90,139.0,2015,13.92672
91,205.0,2015,18.68599
92,66.0,2015,12.98306
93,107.0,2015,17.08066
94,127.0,2015,10.42975
95,12.0,2015,21.89225
96,148.0,2015,14.47574
97,5.0,2016,15.35057
98,169.0,2016,14.35123
99,58.0,2016,21.2186
100,34.0,2016,12.44611
