country_name,country_code,capital_city,rural_population_percent,urban_population_percent,country_id
Burkina Faso,BFA,Ouagadougou,66.834,33.166,121
Zimbabwe,ZWE,Harare,67.33,32.67,122
Kenya,KEN,Nairobi,69.951,30.049,123
Comoros,COM,Moroni,69.582,30.418,124
Gibraltar,GIB,Gibraltar,0.0,100.0,125
Brunei,BRN,Bandar Seri Begawan,20.561,79.439,126
Sweden,SWE,Stockholm,11.024,88.976,127
Lesotho,LSO,Maseru,69.103,30.897,128
Isle of Man,IMN,Douglas,46.292,53.708,129
Micronesia,FSM,Palikir,76.445,23.555,130
Tanzania,TZA,Dodoma,61.864,38.136,131
Cape Verde,CPV,Praia,31.588,68.412,132
Afghanistan,AFG,Kabul,72.735,27.265,133
Andorra,AND,Andorra la Vella,12.253,87.747,134
Greece,GRC,Athens,19.016,80.984,135
Vietnam,VNM,Hanoi,59.805,40.195,136
Iraq,IRQ,Baghdad,28.147,71.853,137
Libya,LBY,Tripoli,18.093,81.907,138
Portugal,PRT,Lisbon,31.577,68.423,139
Pakistan,PAK,Islamabad,61.635,38.365,140
Maldives,MDV,Malé,57.593,42.407,141
Morocco,MAR,Rabat,34.357,65.643,142
Bosnia and Herzegovina,BIH,Sarajevo,49.292,50.708,143
Samoa,WSM,Apia,82.58,17.42,144
Palestine,PSE,Ramallah,22.123,77.877,145
Oman,OMN,Muscat,11.002,88.998,146
Bahrain,BHR,Manama,10.001,89.999,147
United States,USA,"Washington, D.C.",16.485,83.515,148
Puerto Rico,PRI,San Juan,6.336,93.664,149
North Macedonia,MKD,Skopje,40.132,59.868,150
Tunisia,TUN,Tunis,29.12,70.88,151
Trinidad and Tobago,TTO,Port of Spain,46.438,53.562,152
Estonia,EST,Tallinn,29.981,70.019,153
Singapore,SGP,Singapore,0.0,100.0,154
Panama,PAN,Panama City,30.112,69.888,155
Switzerland,CHE,Bern,25.673,74.327,156
Uruguay,URY,Montevideo,4.148,95.852,157
Tajikistan,TJK,Dushanbe,71.477,28.523,158
South Africa,ZAF,Pretoria,30.702,69.298,159
Liechtenstein,LIE,Vaduz,85.293,14.707,160
Brazil,BRA,Brasília,11.984,88.016,161
Armenia,ARM,Yerevan,36.071,63.929,162
Georgia,GEO,Tbilisi,38.838,61.162,163
Qatar,QAT,Doha,0.613,99.387,164
Dominica,DMA,Roseau,27.688,72.312,165
Ukraine,UKR,Kyiv,29.716,70.284,166
Guinea,GIN,Conakry,61.483,38.517,167
Czechia,CZE,Prague,25.262,74.738,168
Austria,AUT,Vienna,40.181,59.819,169
Saint Kitts and Nevis,KNA,Basseterre,68.779,31.221,170
Saint Lucia,LCA,Castries,80.694,19.306,171
Yemen,YEM,Sana'a,59.523,40.477,172
Rwanda,RWA,Kigali,81.919,18.081,173
Monaco,MCO,Monaco,0.0,100.0,174
São Tomé and Príncipe,STP,São Tomé,22.986,77.014,175
Republic of the Congo,COG,Brazzaville,30.362,69.638,176
Paraguay,PRY,Asunción,36.511,63.489,177
Mozambique,MOZ,Maputo,60.674,39.326,178
France,FRA,Paris,17.956,82.044,179
Eswatini,SWZ,Mbabane,74.987,25.013,180
Barbados,BRB,Bridgetown,68.452,31.548,181
Spain,ESP,Madrid,18.198,81.802,182
Thailand,THA,Bangkok,45.68,54.32,183
Guinea-Bissau,GNB,Bissau,54.107,45.893,184
Angola,AGO,Luanda,30.719,69.281,185
India,IND,New Delhi,63.133,36.867,186
New Caledonia,NCL,Nouméa,26.894,73.106,187
Seychelles,SYC,Victoria,40.758,59.242,188
United Kingdom,GBR,London,15.116,84.884,189
Fiji,FJI,Suva,40.808,59.192,190
San Marino,SMR,City of San Marino,2.068,97.932,191
Mali,MLI,Bamako,53.066,46.934,192
Canada,CAN,Ottawa,18.02,81.98,193
Jamaica,JAM,Kingston,42.238,57.762,194
Nauru,NRU,Yaren,0.0,100.0,195
Indonesia,IDN,Jakarta,40.796,59.204,196
Guam,GUM,Hagåtña,4.76000000000001,95.24,197
Ivory Coast,CIV,Yamoussoukro,46.356,53.644,198
Kuwait,KWT,Kuwait City,0.0,100.0,199
Philippines,PHL,Manila,51.386,48.614,200
Guyana,GUY,Georgetown,72.684,27.316,201
Hungary,HUN,Budapest,26.821,73.179,202
Mexico,MEX,Mexico City,18.138,81.862,203
North Korea,PRK,Pyongyang,36.497,63.503,204
Romania,ROU,Bucharest,45.12,54.88,205
Suriname,SUR,Paramaribo,33.467,66.533,206
American Samoa,ASM,Pago Pago,12.716,87.284,207
Nepal,NPL,Kathmandu,77.634,22.366,208
Chad,TCD,N'Djamena,75.309,24.691,209
Serbia,SRB,Belgrade,42.629,57.371,210
Cambodia,KHM,Phnom Penh,73.965,26.035,211
Malaysia,MYS,Kuala Lumpur,20.799,79.201,212
Cyprus,CYP,Nicosia,32.918,67.082,213
