,"(DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD) Distribution of enrolled students, new entrants and graduates by field of education",,,,,,,,,,,,,,,
,(EDUCATION_LEV) Education level: (ISCED11_5T8) Tertiary education,,,,,,,,,,,,,,,
,(MEASURE) Measure: (GRAD) Graduates,,,,,,,,,,,,,,,
,(INST_TYPE_EDU) Type of educational institution: (INST_EDU) All educational institutions,,,,,,,,,,,,,,,
,(TIME_PERIOD) Time period: (2022) 2022,,,,,,,,,,,,,,,
,(COMBINED_UNIT_MEASURE) Combined unit of measure: (PT_ST) Percentage of students,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,(EDUCATION_FIELD) Field of education,(EDUCATION_FIELD) Field of education,(F00) Generic programmes and qualifications,(F01) Education (broad field level),(F02) Arts and humanities,"(F03) Social sciences, journalism and information","(F04) Business, administration and law","(F05) Natural sciences, mathematics and statistics",(F06) Information and Communication Technologies (ICTs) (broad field level),"(F07) Engineering, manufacturing and construction","(F08) Agriculture, forestry, fisheries and veterinary",(F09) Health and welfare (broad field level),(F10) Services (broad field level),"(F05T07) Science, technology, engineering and mathematics",(_TX_U) Total (excluding unknown),
,(REF_AREA) Reference area,,,,,,,,,,,,,,,
,(SWE) Sweden,,0.00,13.07,6.32,11.86,15.71,3.96,6.77,18.29,0.81,20.59,2.61,29.02,100.00,
,(CHE) Switzerland,,0.00,9.37,7.29,6.87,26.80,6.83,3.24,15.33,1.40,17.22,5.65,25.40,100.00,
,(TUR) Türkiye,,0.00,6.74,10.95,9.23,21.38,2.63,2.65,13.22,2.53,22.48,8.18,18.50,100.00,
,(GBR) United Kingdom,,0.47,6.89,13.13,13.56,25.89,8.63,5.38,9.26,0.70,15.92,0.17,23.28,100.00,
,(USA) United States,,0.00,6.68,16.81,12.95,18.64,8.21,5.20,6.95,0.98,20.02,3.57,20.36,100.00,
,(EU25) European Union (25 countries),,0.04,9.47,8.92,9.96,23.96,5.76,5.42,14.23,1.97,15.14,5.14,25.41,100.00,
,(OECD) OECD,,0.07,10.39,9.02,9.85,24.46,5.47,5.20,13.58,1.67,15.80,4.64,24.10,100.00,
,(WXOECD) Non-OECD economies,,,,,,,,,,,,,,,
,·  (BRA) Brazil,,0.00,19.51,2.95,5.23,30.47,1.76,4.62,9.89,3.07,18.98,3.52,16.27,100.00,
,·  (BGR) Bulgaria,,0.00,13.96,7.10,10.79,26.78,3.11,4.94,12.33,1.88,11.06,8.05,20.37,100.00,
,·  (HRV) Croatia,,0.00,7.54,8.01,8.04,21.19,5.40,5.20,18.13,2.99,14.23,9.26,28.73,100.00,
,·  (PER) Peru,,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,O ..,
,·  (ROU) Romania,,0.00,5.82,8.87,9.59,26.82,4.80,6.77,16.78,4.03,11.66,4.84,28.36,100.00,
,,,,,,,,,,,,,,,,
,© Terms & conditions ,,,,,,,,,,,,,,,"(DSD_EAG_UOE_NON_FIN_STUD@DF_UOE_NF_DIST_FIELD) Distribution of enrolled students, new entrants and graduates by field of education"
