REF_AREA,F00,F01,F02,F03,F04,F05,F05T07,F06,F07,F08,F09,F10,_TX_U
AUS,0.0044673152589,8.85090774352019,9.05712623419252,5.79373070797252,34.7995294754526,4.77440442795321,19.1499121794393,6.15757990173885,8.21792784974725,0.86197969420001,20.0443484694166,1.43799818054732,100.0
AUT,0.0,11.6563493963543,7.06111700126574,7.39110678985457,23.7214483590909,5.99610109784785,31.0812857582573,5.26820831277113,19.8169763476383,1.43350612928922,10.4688942850299,7.18629228085807,100.0
BEL,0.0,8.76612230886175,8.72607195985157,10.7473885537737,22.7150867212659,4.08104882873163,18.8179425563566,2.98497703235087,11.7519166952741,1.95592826900757,26.796952904059,1.47450672682393,100.0
BGR,0.0,13.9645546062093,7.09542339903561,10.7858895186532,26.7849589713222,3.10675915743169,20.372641908468,4.93824549530497,12.3276372557313,1.88435834531765,11.060823957364,8.05134929362998,100.0
BRA,0.0,19.5140591035634,2.94795190080014,5.22502886857099,30.4733861702392,1.7576616676472,16.2669835518488,4.6205042036435,9.88881768055813,3.07408310352832,18.9769066030561,3.52160069839314,100.0
CAN,1.09218552826622,5.14131734547118,7.76763229386514,10.6507375834155,26.1854511189116,8.2250056482854,26.4736514374198,6.18666343382689,12.0619823553075,1.04534608835572,15.5010993492073,6.14257925508759,100.0
CHE,0.0,9.36897756433378,7.29442560778292,6.86570548164027,26.7960384611421,6.83169643317222,25.3965145878206,3.23704306782229,15.3277750868261,1.40467675945297,17.2240371832263,5.64962435460101,100.0
CHL,0.0,12.4399667992787,3.3113784023584,5.09467095032296,26.0910742055201,1.94726284858372,21.3828028850282,3.1868041443659,16.2487358920786,2.02948949120849,23.8044162683534,5.84620099792972,100.0
COL,0.00522424122561,8.57521881174633,3.05170319592957,10.0960327485293,42.212242262992,1.94099219535677,23.3475071973252,3.70156148838633,17.7049535135821,1.96953894205384,6.09911505085239,4.64341754934576,100.0
CRI,0.0,26.1251611623525,2.88207874640484,5.29802638103739,36.2947535455718,2.49330556382029,15.7750669443618,5.48844589903798,7.79331548150352,1.34087077258752,10.494892393137,1.78915005454726,100.0
CZE,0.17229496898691,13.6757258861954,8.62074131783178,10.3212177508765,19.1651934198304,6.42735145177239,24.8988703442903,5.48347466514847,12.9880442273694,3.09831300752105,13.5259041740329,6.52173913043478,100.0
DEU,0.0,10.0329813407376,9.13611774830759,6.95433718783206,25.0787034204263,7.9326908780777,35.9354462947228,5.47730426070573,22.5254511559394,1.6866831449782,7.91242957994931,3.2633012830462,100.0
DNK,0.0,5.49583297743829,9.64943321171891,9.87639256647103,25.7757495149659,5.74841677546887,24.2309616487499,5.55074249874928,12.9318023745317,1.1640818517931,20.6655033982893,3.14204483057362,100.0
ESP,0.0,15.9227154360728,8.65386601180184,7.51555022351393,19.2753304833195,4.63587224878856,21.3437495893014,5.23347395654386,11.474403383969,1.02998522423676,18.6659006550526,7.59290237670123,100.0
EST,0.0,8.78424269866425,13.2669232510754,7.47113425401856,22.4360425628254,6.05614670590899,27.5299977360199,9.58795562599049,11.8858954041204,1.47158705003396,13.5838804618519,5.45619198551053,100.0
